id,key,value,type
219850,ref,276C,regular
219850,exit_to,Joliet Road,regular
219850,highway,motorway_junction,regular
20217193,source,PGS,regular
20217427,source,PGS,regular
26218676,curve_geometry,yes,regular
26272214,created_by,JOSM,regular
26524730,highway,traffic_signals,regular
26606147,created_by,YahooApplet 1.0,regular
26638148,created_by,YahooApplet 1.0,regular
26683733,curve_geometry,yes,regular
26704186,ref,45C,regular
26704186,highway,motorway_junction,regular
26760116,created_by,YahooApplet 1.0,regular
26791860,ref,83B,regular
26791860,exit_to,Central Avenue (5600 West),regular
26791860,highway,motorway_junction,regular
26793383,curve_geometry,yes,regular
26794546,highway,traffic_signals,regular
26875280,created_by,JOSM,regular
27315580,created_by,YahooApplet 1.0,regular
27440480,highway,traffic_signals,regular
27460517,ref,126A,regular
27460517,exit_to,I55 South; St Louis,regular
27460517,highway,motorway_junction,regular
28290286,highway,traffic_signals,regular
28923008,created_by,JOSM,regular
29840732,highway,motorway_junction,regular
30231809,created_by,JOSM,regular
33718681,highway,traffic_signals,regular
35313375,highway,traffic_signals,regular
104509549,highway,traffic_signals,regular
111028806,curve_geometry,yes,regular
153011808,highway,stop,regular
153360517,ele,210,regular
153360517,name,Lake Forest,regular
153360517,is_in,"Lake,Illinois,Ill.,IL,USA",regular
153360517,place,town,regular
153360517,id,411708,gnis
153360517,wikidata,Q575355,regular
153360517,Class,Populated Place,gnis
153360517,population,21320,regular
153360517,County,Lake,gnis
153360517,ST_num,17,gnis
153360517,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153360517,ST_alpha,IL,gnis
153360517,County_num,097,gnis
153360517,population,21320;2006,census
153384998,ele,181,regular
153384998,name,Chicago Ridge,regular
153384998,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153384998,place,town,regular
153384998,id,406048,gnis
153384998,Class,Populated Place,gnis
153384998,population,13539,regular
153384998,County,Cook,gnis
153384998,ST_num,17,gnis
153384998,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153384998,ST_alpha,IL,gnis
153384998,County_num,031,gnis
153384998,population,13539;2006,census
153430485,ele,183,regular
153430485,name,Summerdale,regular
153430485,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153430485,place,neighbourhood,regular
153430485,id,1772753,gnis
153430485,Class,Populated Place,gnis
153430485,County,Cook,gnis
153430485,ST_num,17,gnis
153430485,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153430485,ST_alpha,IL,gnis
153430485,County_num,031,gnis
153453085,ele,182,regular
153453085,name,Back of the Yards,regular
153453085,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153453085,place,neighbourhood,regular
153453085,id,1737389,gnis
153453085,Class,Populated Place,gnis
153453085,County,Cook,gnis
153453085,ST_num,17,gnis
153453085,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153453085,ST_alpha,IL,gnis
153453085,County_num,031,gnis
153480529,ele,183,regular
153480529,name,Chinatown,regular
153480529,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153480529,place,neighbourhood,regular
153480529,id,1826609,gnis
153480529,Class,Populated Place,gnis
153480529,County,Cook,gnis
153480529,ST_num,17,gnis
153480529,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153480529,ST_alpha,IL,gnis
153480529,County_num,031,gnis
153504405,ele,190,regular
153504405,name,Coynes,regular
153504405,is_in,"Will,Illinois,Ill.,IL,USA",regular
153504405,place,hamlet,regular
153504405,id,422587,gnis
153504405,Class,Populated Place,gnis
153504405,County,Will,gnis
153504405,ST_num,17,gnis
153504405,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153504405,ST_alpha,IL,gnis
153504405,County_num,197,gnis
153531093,ele,187,regular
153531093,name,Kelvyn Grove,regular
153531093,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153531093,place,neighbourhood,regular
153531093,id,1802414,gnis
153531093,Class,Populated Place,gnis
153531093,County,Cook,gnis
153531093,ST_num,17,gnis
153531093,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153531093,ST_alpha,IL,gnis
153531093,County_num,031,gnis
153556081,ele,202,regular
153556081,name,Hubbard Woods,regular
